item_code,item_code_raw,item_name,category,section,severity_guide,check_content,check_purpose,security_threat,reference_note,target,criteria_safe,criteria_vuln,remediation,impact,detail,reference,page_start,page_end,guide_version
U-47,U-47,스팸 메일 릴레이 제한,UNIX 서버,UNIX > 3. 서비스 관리,상,SMTP 서버의 릴레이 기능 제한 여부 점검,스팸 메일 서버로의 악용 방지 및 서버 과부하를 방지하기 위함,"SMTP 서버의 릴레이 기능을 제한하지 않을 경우, 악의적인 사용 목적을 가진 사용자들이 스팸 메일
서버로 사용하거나 DoS 공격의 위험이 존재함","※ SMTP(Simple Mail Transfer Protocol) 서버: SMTP에 의해 전자 메일을 발신하는 서버(server)
를 SMTP 서버라고 함
※ 메일 서비스를 사용하지 않는 경우 양호 또는 N/A","SOLARIS, LINUX, AIX, HP-UX 등",릴레이 제한이 설정된 경우,릴레이 제한이 설정되어 있지 않은 경우,"Ÿ 메일 서비스를 사용하지 않는 경우 서비스 중지 및 비활성화 설정
Ÿ 메일 서비스 사용 시 릴레이 방지 설정 또는 릴레이 대상 접근 제어 설정",일반적인 경우 영향 없음,,,113,115,2026
U-48,U-48,"expn, vrfy 명령어 제한",UNIX 서버,UNIX > 3. 서비스 관리,중,"SMTP 서비스 사용 시 expn, vrfy 명령어 사용 금지 설정 여부 점검","SMTP 서비스의 expn, vrfy 명령을 통한 정보 유출을 방지하기 위함","expn, vrfy 명령어를 통하여 특정 사용자 계정의 존재 여부를 알 수 있고, 사용자의 정보를 외부로
유출할 수 있는 위험이 존재함","※ expn(메일링 리스트 확장): 메일 전송 시 포워딩하기 위한 명령어
※ vrfy: SMTP 클라이언트가 SMTP 서버에 특정 아이디에 대한 메일이 있는지 검증하기 위해 보내는
명령어
※ goway: authwarnings, noexpn, novrfy, noveb, needmailhelo, needexpnhelo, needvrfyhelo,
nobodyreturn 옵션을 통합한 단축 옵션
※ 메일 서비스를 사용하지 않는 경우 양호 또는 N/A","SOLARIS, LINUX, AIX, HP-UX 등","noexpn, novrfy 옵션이 설정된 경우","noexpn, novrfy 옵션이 설정되어 있지 않은 경우","Ÿ 메일 서비스를 사용하지 않는 경우 서비스 중지 및 비활성화 설정
Ÿ 메일 서비스 사용 시 메일 서비스 설정 파일에 noexpn, novrfy 또는 goaway 옵션 추가 설정",일반적인 경우 영향 없음,,,116,117,2026
U-49,U-49,DNS 보안 버전 패치,UNIX 서버,UNIX > 3. 서비스 관리,상,BIND 최신 버전 사용 유무 및 주기적 보안 패치 여부 점검,취약점이 발표되지 않은 BIND 버전을 사용하여 시스템 보안성을 높이기 위함,"취약점이 내포된 BIND 버전을 사용할 경우, DoS 공격, 버퍼 오버플로우(Buffer Overflow) 및 DNS
서버 원격 침입 등의 위험이 존재함","※ BIND(Berkeley Internet Name Domain): BIND는 BSD 기반의 유닉스 시스템을 위해 설계된
DNS로 서버와 resolver 라이브러리로 구성되어 있음. 네임 서버는 클라이언트들이 이름
자원들이나 Object들에 접근하여, 네트워크 내의 다른 Object들과 함께 정보를 공유할 수 있게
해주는 네트워크 서비스로 사실상 컴퓨터 네트워크 내의 Object들을 위한 분산 데이터베이스
시스템임","SOLARIS, LINUX, AIX, HP-UX 등",주기적으로 패치를 관리하는 경우,주기적으로 패치를 관리하고 있지 않은 경우,"Ÿ DNS 서비스를 사용하지 않는 경우 서비스 중지 및 비활성화 설정
Ÿ DNS 서비스 사용 시 패치 관리 정책 수립 및 주기적으로 패치 적용 설정
※ DNS 서비스의 경우 대부분의 버전에서 취약점이 보고되고 있으므로 OS 관리자, 서비스 개발자가
패치 적용에 따른 서비스 영향 정도를 정확히 파악하여 주기적인 패치 적용 정책 수리 후 적용",패치 적용 시 시스템 및 서비스 영향 정도를 충분히 고려해야 함,,,118,120,2026
U-50,U-50,DNS ZoneTransfer 설정,UNIX 서버,UNIX > 3. 서비스 관리,상,Secondary Name Server로만 Zone 정보 전송 제한 여부 점검,DNS Zone Transfer 설정을 통해 비인가자에 대한 무단 접근을 방지하기 위함,"Zone Transfer를 모든 사용자에게 허용할 경우, 비인가자에게 호스트 정보, 시스템 정보 등 중요 정보가
유출될 위험이 존재함","※ DNS Zone Transfer는 Primary Name Server와 Secondary Name Server 간에 Zone 정보를
일관성 있게 유지하기 위하여 사용하는 기능","SOLARIS, LINUX, AIX, HP-UX 등",Zone Transfer를 허가된 사용자에게만 허용한 경우,Zone Transfer를 모든 사용자에게 허용한 경우,"Ÿ DNS 서비스를 사용하지 않는 경우 서비스 중지 및 비활성화 설정
Ÿ DNS 서비스 사용 시 DNS Zone Transfer를 허가된 사용자에게만 전송 허용하도록 설정",Zone Transfer 설정에서 허용할 대상을 정상적으로 등록하였다면 일반적으로 영향 없음,,,121,121,2026
U-51,U-51,DNS 서비스의 취약한 동적 업데이트 설정 금지,UNIX 서버,UNIX > 3. 서비스 관리,중,DNS 서비스의 취약한 동적 업데이트 설정 여부 점검,"DNS 서비스의 동적 업데이트를 비활성화함으로써 신뢰할 수 없는 원본으로부터 업데이트를
받아들이는 위험을 차단하기 위함","DNS 서버에서 동적 업데이트를 사용할 경우, 악의적인 사용자에 의해 신뢰할 수 없는 데이터가
받아들여질 위험이 존재함","※ DNS 동적 업데이트: DNS 정보에 변경 사항이 있을 때마다 DNS 클라이언트 컴퓨터가 자신의
리소스 레코드(zone 파일)를 DNS 서버에 자동으로 업데이트하는 기능으로 영역 레코드 수동 관리
작업을 줄일 수 있음","SOLARIS, LINUX, AIX, HP-UX 등","DNS 서비스의 동적 업데이트 기능이 비활성화되었거나, 활성화 시 적절한 접근통제를 수행하고 있는 경우",DNS 서비스의 동적 업데이트 기능이 활성화 중이며 적절한 접근통제를 수행하고 있지 않은 경우,"Ÿ DNS 서비스를 사용하지 않는 경우 서비스 중지 및 비활성화 설정
Ÿ DNS 서비스 사용 시 일반적으로 동적 업데이트 기능이 필요 없으나 확인 필요함",일반적인 경우 영향 없음,,,122,123,2026
U-52,U-52,Telnet 서비스 비활성화,UNIX 서버,UNIX > 3. 서비스 관리,중,원격 접속 시 Telnet 프로토콜 사용 여부 점검,취약한 Telnet 프로토콜을 비활성화함으로써 계정 및 중요 정보 유출 방지하기 위함,"원격 접속 시 Telnet 프로토콜을 사용할 경우, 데이터가 평문으로 전송되어 비인가자가 스니핑을 통해
계정 및 중요 정보를 외부로 유출할 위험이 존재함",※ 스니핑: 컴퓨터 네트워크상에 흘러 다니는 트래픽을 도청하는 행위,"SOLARIS, LINUX, AIX, HP-UX 등",원격 접속 시 Telnet 프로토콜을 비활성화하고 있는 경우,원격 접속 시 Telnet 프로토콜을 사용하는 경우,"Telnet, FTP 등 안전하지 않은 서비스 사용을 중지하고 SSH 설치 및 사용하도록 설정",일반적인 경우 영향 없음,,,124,126,2026
U-53,U-53,FTP 서비스 정보 노출 제한,UNIX 서버,UNIX > 3. 서비스 관리,하,FTP 서비스 정보 노출 여부 점검,FTP 서비스 접속 배너를 통한 불필요한 정보 노출을 방지하기 위함,"서비스 접속 배너가 차단되지 않을 경우, 비인가자가 FTP 접속 시도 시 노출되는 접속 배너 정보를
수집하여 악의적인 공격에 이용할 위험이 존재함",-,"SOLARIS, LINUX, AIX, HP-UX 등",FTP 접속 배너에 노출되는 정보가 없는 경우,FTP 접속 배너에 노출되는 정보가 있는 경우,"Ÿ FTP 서비스를 사용하지 않는 경우 서비스 중지 및 비활성화 설정
Ÿ FTP 서비스 사용 시 FTP 설정 파일을 통해 접속 배너 설정
※ 접속 배너에 서비스 이름이나 버전 정보를 노출하지 않는 것을 권고",일반적인 경우 영향 없음,,,127,130,2026
U-54,U-54,암호화되지 않는 FTP 서비스 비활성화,UNIX 서버,UNIX > 3. 서비스 관리,중,암호화되지 않은 FTP 서비스 비활성화 여부 점검,암호화되지 않은 FTP 서비스를 비활성화함으로써 계정 및 중요 정보 유출 방지하기 위함,"암호화되지 않은 FTP 서비스를 사용할 경우, 데이터가 평문으로 전송되어 비인가자가 스니핑을 통해
계정 및 중요 정보를 외부로 유출할 위험이 존재함","※ 기반시설 시스템에서 FTP 서비스의 이용은 원칙적으로 금지하나, 불가피하게 사용 시 SFTP 사용 권고
※ 암호화되지 않은 FTP 서비스 종류 : FTP
※ 암호화되어 있는 FTP 서비스 종류 : SFTP, FTP over SSH(Secure FTP), FTPS","SOLARIS, LINUX, AIX, HP-UX 등",암호화되지 않은 FTP 서비스가 비활성화된 경우,암호화되지 않은 FTP 서비스가 활성화된 경우,암호화되지 않은 FTP 서비스 중지 및 비활성화 설정,일반적인 경우 영향 없음,,,131,133,2026
U-55,U-55,FTP 계정 shell 제한,UNIX 서버,UNIX > 3. 서비스 관리,중,FTP 기본 계정에 쉘 설정 여부 점검,FTP 계정의 쉘을 통한 시스템 접근을 차단하기 위함,"FTP 기본 계정에 쉘이 부여될 경우, 비인가자가 해당 기본 계정으로 시스템에 접근할 위험이 존재함","※ 기반시설 시스템에서 FTP 서비스의 이용은 원칙적으로 금지하나, 불가피하게 사용 시 shell 제한
등의 보안 조치를 반드시 적용해야 함","SOLARIS, LINUX, AIX, HP-UX 등",FTP 계정에 /bin/false(/sbin/nologin) 쉘이 부여된 경우,FTP 계정에 /bin/false(/sbin/nologin) 쉘이 부여되어 있지 않은 경우,"Ÿ FTP 서비스를 사용하지 않는 경우 서비스 중지 및 비활성화 설정
Ÿ FTP 서비스 사용 시 FTP 계정에 /bin/false 쉘 부여 설정",일반적인 경우 영향 없음,,,134,134,2026
U-56,U-56,FTP 서비스 접근 제어 설정,UNIX 서버,UNIX > 3. 서비스 관리,하,FTP 서비스에 비인가자의 접근 가능 여부 점검,접근 권한이 없는 비인가자의 접근을 통제하기 위함,"FTP 서비스의 접근제한 설정이 적절하지 않을 경우, 인증 절차 없이 비인가자가 디렉터리나 파일에
접근할 수 있어 중요 파일 변조 및 유출을 시도할 위험이 존재함","※ 기반시설 시스템에서 FTP 서비스의 이용은 원칙적으로 금지하나, 불가피하게 사용 시 접근 제어
설정 등의 보안 조치를 반드시 적용해야 함","SOLARIS, LINUX, AIX, HP-UX 등",특정 IP주소 또는 호스트에서만 FTP 서버에 접속할 수 있도록 접근 제어 설정을 적용한 경우,FTP 서버에 접근 제어 설정을 적용하지 않은 경우,"Ÿ FTP 서비스를 사용하지 않는 경우 서비스 중지 및 비활성화 설정
Ÿ FTP 서비스 사용 시 접근 제어 설정",특정 IP주소 또는 호스트에서만 FTP 접속이 가능함,,,135,138,2026
U-57,U-57,Ftpusers 파일 설정,UNIX 서버,UNIX > 3. 서비스 관리,중,FTP 서비스에 root 계정 접근 제한 설정 여부 점검,root 계정의 FTP 직접 접속을 제한하여 root 비밀번호 정보 노출을 방지하기 위함,"FTP 서비스에 root 계정으로 접근할 경우, 데이터가 평문으로 전송되어 비인가자가 스니핑을 통해
관리자 계정 및 중요 정보를 외부로 유출할 위험이 존재함","※ 기반시설 시스템에서 FTP 서비스의 이용은 원칙적으로 금지하나, 불가피하게 사용 시 root 계정
접근 제한 등의 보안 조치를 반드시 적용해야 함","SOLARIS, LINUX, AIX, HP-UX 등",root 계정 접속을 차단한 경우,root 계정 접속을 허용한 경우,"Ÿ FTP 서비스를 사용하지 않는 경우 서비스 중지 및 비활성화 설정
Ÿ FTP 서비스 사용 시 root 계정으로 직접 접속할 수 없도록 설정",애플리케이션에서 root 계정으로 직접 접속하여 FTP를 사용하고 있는 경우 확인 필요,,,139,140,2026
U-58,U-58,불필요한 SNMP 서비스 구동 점검,UNIX 서버,UNIX > 3. 서비스 관리,중,SNMP 서비스 활성화 여부 점검,불필요한 SNMP 서비스를 비활성화하여 필요 이상의 정보가 노출되는 것을 방지하기 위함,"SNMP 서비스가 활성화되어 있을 경우, 비인가자가 시스템의 중요 정보를 유출하거나 불법적으로
수정할 위험이 존재함","※ SNMP(Simple Network Management Protocol): TCP/IP 기반 네트워크상의 각 호스트에서
정기적으로 여러 정보를 자동으로 수집하여 네트워크 관리를 하기 위한 프로토콜을 의미함
※ 기반시설 시스템에서 SNMP 서비스의 이용은 원칙적으로 금지하나, 불가피하게 사용 시 기본
Comunity String 변경, 네트워크 모니터링 등의 보안 조치를 반드시 적용해야 함","SOLARIS, LINUX, AIX, HP-UX 등",SNMP 서비스를 사용하지 않는 경우,SNMP 서비스를 사용하는 경우,SNMP 서비스를 사용하지 않는 경우 서비스 중지 및 비활성화 설정,일반적인 경우 영향 없음,,,141,142,2026
U-59,U-59,안전한 SNMP 버전 사용,UNIX 서버,UNIX > 3. 서비스 관리,상,안전한 SNMP 버전 사용 여부 점검,안전한 SNMP 버전 사용으로 전송되는 데이터를 보호하기 위함,"SNMP 버전이 기준보다 낮을 경우, 응답 패킷이 평문으로 전송되어 스니핑 위험이 존재함","※ SNMP(Simple Network Management Protocol): TCP/IP 기반 네트워크상의 각 호스트에서
정기적으로 여러 정보를 자동으로 수집하여 네트워크 관리를 하기 위한 프로토콜을 의미하며 v1,
v2, v3 세 가지 버전이 존재하는데 v1, v2는 요청 및 응답 패킷이 평문으로 전송되기 때문에
스니핑이 가능하지만 v3 이상부터는 HMAC-MD5 또는 HMAC-SHA 알고리즘 기반의 인증을
제공함","SOLARIS, LINUX, AIX, HP-UX 등",SNMP 서비스를 v3 이상으로 사용하는 경우,SNMP 서비스를 v2 이하로 사용하는 경우,"Ÿ SNMP 서비스를 사용하지 않는 경우 서비스 중지 및 비활성화 설정
Ÿ SNMP 서비스 사용 시 SNMP 버전을 v3 이상으로 적용하도록 설정",일반적인 경우 영향 없음,,,143,144,2026
U-60,U-60,SNMP Community String 복잡성 설정,UNIX 서버,UNIX > 3. 서비스 관리,중,SNMP Community String 복잡성 설정 여부 점검,"SNMP 서비스의 Community String의 복잡성 설정을 통해 비인가자의 비밀번호 추측 공격에
대비하기 위함","Community String에 복잡성 설정이 되어 있지 않을 경우, 비인가자가 비밀번호 추측 공격을 통해
계정 탈취 시 환경설정 파일 열람 및 수정, 각종 정보수집, 관리자 권한 획득 등 다양한 위험이 존재함","※ NMS(Network Management System): 네트워크상의 모든 장비의 중앙 감시 체제를 구축하여
모니터링, 플래닝, 분석을 시행하고 관련 데이터를 보관하여 필요 즉시 활용할 수 있게 하는 관리
시스템을 말함
※ Community String: SNMP는 MIB라는 정보를 주고받기 위해 인증 과정에서 일종의 비밀번호인
Community String을 사용함
※ 기반시설 시스템에서 SNMP 서비스의 이용은 원칙적으로 금지하나, 불가피하게 사용 시 기본
Comunity String 변경, 네트워크 모니터링 등의 보안 조치를 반드시 적용해야 함","SOLARIS, LINUX, AIX, HP-UX 등","SNMP Community String 기본값인 “public”, “private”이 아닌 영문자, 숫자 포함 10자리 이상 또는 영문자, 숫자, 특수문자 포함 8자리 이상인 경우 ※ SNMP v3의 경우 별도 인증 기능을 사용하고, 해당 비밀번호가 복잡도를 만족하는 경우 양호","아래의 내용 중 하나라도 해당되는 경우 1. SNMP Community String 기본값인 “public”, “private”일 경우 2. 영문자, 숫자 포함 10자리 미만인 경우 3. 영문자, 숫자, 특수문자 포함 8자리 미만인 경우","Ÿ SNMP 서비스를 사용하지 않는 경우 서비스 중지 및 비활성화 설정
Ÿ SNMP 서비스 사용 시 SNMP Community String 기본값인 “public”, “private”이 아닌 영문자,
숫자 포함 10자리 이상 또는 영문자, 숫자, 특수문자 포함 8자리 이상으로 설정",일반적인 경우 영향 없음,,,145,147,2026
U-61,U-61,SNMP Access Control 설정,UNIX 서버,UNIX > 3. 서비스 관리,상,SNMP 접근 제어 설정 여부 점검,SNMP 접근 제어 설정을 통해 비인가자의 접근을 차단하기 위함,"SNMP 서비스에 접근 제어가 설정되어 있지 않을 경우, 비인가자의 접근, 네트워크 정보 유출, 시스템
및 네트워크 설정 변경, DoS 공격 등의 위험이 존재함",-,"SOLARIS, LINUX, AIX, HP-UX 등",SNMP 서비스에 접근 제어 설정이 되어 있는 경우,SNMP 서비스에 접근 제어 설정이 되어 있지 않은 경우,"Ÿ SNMP 서비스를 사용하지 않는 경우 서비스 중지 및 비활성화 설정
Ÿ SNMP 서비스 사용 시 SNMP 접근 제어 설정하도록 설정",일반적인 경우 영향 없음,,,148,149,2026
U-62,U-62,로그인 시 경고 메시지 설정,UNIX 서버,UNIX > 3. 서비스 관리,하,"서버 및 서비스에 로그온 시 불필요한 정보 차단 설정 및 불법적인 사용에 대한 경고 메시지 출력 여부
점검","비인가자들에게 서버에 대한 불필요한 정보를 제공하지 않고, 서버 접속 시 관계자만 접속해야 한다는
경각심을 심어 주기 위함","로그온 시 경고 메시지가 설정되어 있지 않을 경우, 기본 설정값엔 서버 OS 버전 및 서비스 버전이
비인가자에게 노출되어 해당 정보를 통해 서비스의 취약점을 이용하여 공격을 시도할 위험이 존재함","※ 로그온 시 경고 메시지는 공격자의 활동을 주시하고 있다는 생각을 상기시킴으로써 간접적으로
공격 피해를 감소시키는 효과를 줄 수 있음","SOLARIS, LINUX, AIX, HP-UX 등","서버 및 Telnet, FTP, SMTP, DNS 서비스에 로그온 시 경고 메시지가 설정된 경우","서버 및 Telnet, FTP, SMTP, DNS 서비스에 로그온 시 경고 메시지가 설정되어 있지 않은 경우","Telnet, FTP, SMTP, DNS 서비스를 사용하는 경우 설정 파일을 통해 로그온 시 경고 메시지 설정",일반적인 경우 영향 없음,,,150,158,2026
U-63,U-63,sudo 명령어 접근 관리,UNIX 서버,UNIX > 3. 서비스 관리,중,/etc/sudoers 파일 권한 적절성 여부 점검,"비인가자가 관리자 권한을 남용하여 시스템 손상, 악성 코드 실행, 민감한 데이터 유출 등의 보안 위협을
방지하기 위함","sudo 명령어 접근을 제한하지 않을 경우, 비인가자가 관리자 권한으로 허가되지 않은 명령어를
사용하여 루트 권한 오용, 악성 코드 실행, 데이터 유출 등의 시도를 할 위험이 존재함","※ sudo(SuperUser DO): root 권한으로 명령어를 실행함
※ /etc/sudoers: sudo 명령을 사용하여 다른 명령을 실행할 수 있는 사용자를 지정하는 파일","SOLARIS, LINUX, AIX, HP-UX 등","/etc/sudoers 파일 소유자가 root이고, 파일 권한이 640인 경우","/etc/sudoers 파일 소유자가 root가 아니거나, 파일 권한이 640을 초과하는 경우",/etc/sudoers 파일 소유자 및 권한 변경 설정,일반적인 경우 영향 없음,,,159,159,2026
U-64,U-64,주기적 보안 패치 및 벤더 권고사항 적용,UNIX 서버,UNIX > 4. 패치 관리,상,시스템에서 최신 패치가 적용 여부 점검,주기적인 패치 적용을 통해 시스템 안정성 및 보안성을 확보하기 위함,"최신 보안패치가 적용되지 않을 경우, 이미 알려진 취약점을 통하여 공격자에 의해 시스템 침해사고
발생할 위험이 존재함","※ 최신 버전의 Kernel을 사용하도록 권고하고 있으나, 시스템 운영상 적용이 어려운 경우 최신 버전이
아닌 취약점이 존재하지 않는 Kernel 버전도 허용하고 있음","SOLARIS, LINUX, AIX, HP-UX 등","패치 적용 정책을 수립하여 주기적으로 패치 관리를 하고 있으며, 패치 관련 내용을 확인하고 적용하였을 경우","패치 적용 정책을 수립하지 않고 주기적으로 패치 관리를 하지 않거나, 패치 관련 내용을 확인하지 않고 적용하지 않고 있는 경우","OS 관리자, 서비스 개발자가 패치 적용에 따른 서비스 영향 정도를 파악하여 OS 관리자 및 벤더에서
적용하도록 설정
※ OS 패치의 경우 지속해서 취약점이 발표되고 있으므로 O/S 관리자, 서비스 개발자가 패치 적용에
따른 서비스 영향 정도를 정확히 파악하여 주기적인 패치 적용 정책을 수립하여 적용해야 함",일반적인 경우 영향 없음,,,160,163,2026
U-65,U-65,NTP 및 시각 동기화 설정,UNIX 서버,UNIX > 5. 로그 관리,중,NTP 및 시각 동기화 설정 여부 점검,"인증 및 감사 목적을 위한 시간 동기화는 필수적이며, 안전하고 승인된 NTP 서비스와 동기화하기 위함","시스템 간 시간 동기화 미흡으로 보안 사고 및 장애 발생 시 로그에 대한 신뢰도 확보 미흡 위험이
존재함",-,"SOLARIS, LINUX, AIX, HP-UX 등",NTP 및 시각 동기화 설정이 기준에 따라 적용된 경우,NTP 및 시각 동기화 설정이 기준에 따라 적용되어 있지 않은 경우,NTP 설정 및 동기화 주기 설정,일반적인 경우 영향 없음,,,164,165,2026
U-66,U-66,정책에 따른 시스템 로깅 설정,UNIX 서버,UNIX > 5. 로그 관리,중,내부 정책에 따른 시스템 로깅 설정 여부 점검,보안 사고 발생 시 원인 파악 및 각종 침해 사실 확인을 하기 위함,"로깅 설정이 되어 있지 않을 경우, 원인 규명이 어려우며 법적 대응을 위한 충분한 증거로 사용할 수
없는 위험이 존재함","※ 감사 설정이 너무 높으면 보안 로그에 불필요한 항목이 많이 기록되어 매우 중요한 항목과 혼동할
수 있으며 시스템 성능에도 심각한 영향을 줄 수 있으므로 법적 요구 사항과 조직의 정책에 따라
필요한 로그를 남기도록 설정해야 함","SOLARIS, LINUX, AIX, HP-UX 등","로그 기록 정책이 보안 정책에 따라 설정되어 수립되어 있으며, 로그를 남기고 있는 경우","로그 기록 정책 미수립 또는 정책에 따라 설정되어 있지 않거나, 로그를 남기고 있지 않은 경우","로그 기록 정책을 수립하고, 정책에 따라 (r)syslog.conf 파일을 설정","아래 제시한 모든 로그를 설정할 경우, 시스템 성능과 로그 저장에 따른 서버 용량 부족 문제가 발생할
수 있으므로 시스템 운영 환경과 특성을 고려하여 적용",,,166,170,2026
U-67,U-67,로그 디렉터리 소유자 및 권한 설정,UNIX 서버,UNIX > 5. 로그 관리,중,로그에 대한 접근 통제 및 관리 여부 점검,로그 파일을 관리자만 제어할 수 있게 하여 비인가자의 임의적인 파일 훼손 및 변조를 방지하기 위함,"로그에 대한 접근 통제가 미흡할 경우, 비인가자가 로그에서 정보를 획득하거나 로그 자체를 변조할 수
있는 위험이 존재함",-,"SOLARIS, LINUX, AIX, HP-UX 등","디렉터리 내 로그 파일의 소유자가 root이고, 권한이 644 이하인 경우","디렉터리 내 로그 파일의 소유자가 root가 아니거나, 권한이 644를 초과하는 경우",디렉터리 내 로그 파일 소유자 및 권한 변경 설정,일반적인 경우 영향 없음,,,171,176,2026
W-01,W-01,Administrator 계정 이름 변경 등 보안성 강화,Windows 서버,Windows 서버 > 1. 계정 관리,상,"윈도우 최상위 관리자 계정인 Administrator의 계정명 변경 또는 보안을 고려한 비밀번호 설정 여부
점검","윈도우 기본 관리자 계정인 Administrator의 이름을 변경 또는 보안을 고려한, 잘 알려진 계정을 통한
악의적인 패스워드 추측 공격을 차단하기 위함","Ÿ 일반적으로 관리자 계정으로 잘 알려진 Administrator를 변경하지 않는 경우 악의적인 사용자의
패스워드 추측 공격을 통해 사용 권한 상승의 위험이 있으며, 관리자를 유인하여 침입자의 액세스를
허용하는 악성코드를 실행할 위험이 존재함
Ÿ 윈도우 최상위 관리자 계정인 Administrator는 기본적으로 삭제하거나 잠글 수 없어 악의적인
사용자의 목표가 될 위험이 존재함","※ 윈도우 서버는 Administrator 계정을 비활성화할 수 있으나 안전 모드로 컴퓨터를 시작할 경우 본
계정은 자동으로 활성화됨","Windows NT, 2000, 2003, 2008, 2012, 2016, 2019, 2022",Administrator 기본 계정 이름을 변경하거나 강화된 비밀번호를 적용한 경우,Administrator 기본 계정 이름을 변경하지 않거나 단순 비밀번호를 적용한 경우,Administrator 기본 계정 이름 변경 및 보안성이 있는 비밀번호 설정,일반적인 경우 영향 없음,,,177,177,2026
W-02,W-02,Guest 계정 비활성화,Windows 서버,Windows 서버 > 1. 계정 관리,상,Guest 계정 비활성화 여부 점검,Guest 계정을 비활성화하여 불특정 다수의 임시적인 시스템 접근을 차단하기 위함,"Guest 계정은 시스템에 임시로 액세스해야 하는 사용자용 계정으로, 해당 계정을 사용하여 권한 없는
사용자가 시스템에 익명으로 액세스할 수 있으므로 비인가자 접근, 정보 유출 등 보안 위험이 존재함","※ Windows Guest 계정은 삭제 불가능한 built-in 계정으로 보안 강화 목적으로 반드시 비활성화 처
리해야 함","Windows NT, 2000, 2003, 2008, 2012, 2016, 2019, 2022",Guest 계정이 비활성화되어 있는 경우,Guest 계정이 활성화되어 있는 경우,Guest 계정 비활성화,일반적인 경우 영향 없음,,,178,178,2026
W-03,W-03,불필요한 계정 제거,Windows 서버,Windows 서버 > 1. 계정 관리,상,시스템 내 불필요한 계정 및 의심스러운 계정의 존재 여부를 점검,"퇴직, 전직, 휴직 등의 이유로 사용하지 않는 계정, 불필요한 계정 및 의심스러운 계정을 삭제하여,
일반적으로 로그인이 필요치 않은 해당 계정들을 통한 로그인을 차단하고, 계정의 패스워드 추측 공격
시도를 차단하기 위함","관리되지 않은 불필요한 계정은 장기간 비밀번호가 변경되지 않아 무차별 대입 공격(Brute Force
Attack)이나 비밀번호 추측 공격(Password Guessing Attack)의 가능성이 존재하며, 또한 이런
공격으로 계정정보가 유출되어도 유출 사실을 인지하기 어려워 초기 대응이 불가능한 위험이 존재함","※ 무차별 대입 공격(Brute Force Attack): 특정 암호를 해독하기 위해 가능한 모든 값을 대입하는
공격 방법","Windows NT, 2000, 2003, 2008, 2012, 2016, 2019, 2022",불필요한 계정이 존재하지 않는 경우,불필요한 계정이 존재하는 경우,현재 계정 현황 확인 후 불필요한 계정 삭제,명확하게 파악되지 않은 계정을 삭제하는 경우 해당 계정과 관련한 업무에 장애 발생 가능성이 존재함,,,179,179,2026
W-04,W-04,계정 잠금 임계값 설정,Windows 서버,Windows 서버 > 1. 계정 관리,상,계정 잠금 임계값의 설정 여부 점검,계정 잠금 임계값을 설정하여 공격자의 자유로운 자동화 암호 유추 공격을 차단하기 위함,"공격자는 시스템의 계정 잠금 임계값이 설정되지 않는 경우, 자동화된 방법을 이용하여 모든 사용자
계정에 대해 암호 조합 공격을 자유롭게 시도할 수 있으므로 사용자 계정 정보의 노출 위험이 존재함","※ 계정 잠금 임계값 설정은 사용자 계정이 잠기는 로그온 실패 횟수를 결정하며 잠긴 계정은 관리자가
재설정하거나 해당 계정의 잠금 유지 시간이 만료되어야 사용할 수 있음
※ 계정 잠금 정책: 해당 계정이 시스템으로부터 잠기는 환경과 시간을 결정하는 정책으로 ‘계정 잠금 기
간’, ‘계정 잠금 임계값’, ‘다음 시간 후 계정 잠금 수를 원래대로 설정’의 세 가지 하위 정책을 가짐
※ 관련 점검 항목: W-08(중)","Windows NT, 2000, 2003, 2008, 2012, 2016, 2019, 2022",계정 잠금 임계값이 5 이하의 값으로 설정된 경우,계정 잠금 임계값이 5 초과의 값으로 설정된 경우,계정 잠금 임계값을 5 이하의 값으로 설정,"Administrator 계정은 잠기지 않으며, 일반 계정의 경우 5회 패스워드 입력 실패 시 잠김",,,180,180,2026
W-05,W-05,해독 가능한 암호화를 사용하여 암호 저장 해제,Windows 서버,Windows 서버 > 1. 계정 관리,상,해독 가능한 암호화 사용 여부 점검,"“해독 가능한 암호화를 사용하여 암호 저장” 정책이 설정되어 사용자 계정 비밀번호가 해독 가능한
텍스트 형태로 저장되는 것을 차단하기 위함","위 정책이 설정된 경우 운영체제에서 사용자 계정, 비밀번호를 입력받아 인증을 진행하는 응용 프로그램
프로토콜 지원 시 운영체제는 사용자의 비밀번호를 해독 가능한 방식으로 저장하기 때문에, 노출된
계정에 대해 공격자가 비밀번호 복호화 공격으로 비밀번호를 획득하여 네트워크 리소스에 접근할
위험이 존재함","※ “해독 가능한 암호화를 사용하여 암호 저장” 정책은 암호를 암호화하지 않은 상태로 저장하여 일반
텍스트 버전의 암호를 저장하는 것과 같으나 시스템에서 기본적으로 동작하지는 않음","Windows NT, 2000, 2003, 2008, 2012, 2016, 2019, 2022",“해독 가능한 암호화를 사용하여 암호 저장” 정책이 “사용 안 함”으로 설정된 경우,“해독 가능한 암호화를 사용하여 암호 저장” 정책이 “사용”으로 설정된 경우,“해독 가능한 암호화를 사용하여 암호 저장”을 “사용 안 함”으로 설정,일반적인 경우 영향 없음,,,181,181,2026
